IdentifierCallnumber|Item Type Metadata|Call number
title|Dublin Core|Title
object_id|Item Type Metadata|Object id
other titles|Dublin Core|Alternative Title
date|Dublin Core|Date
Description|Dublin Core|Description
Notes|Item Type Metadata|Notes
pid|Item Type Metadata|pid_rosetta
TableOfContents|Dublin Core|Table Of Contents
language|Dublin Core|Language
type|Dublin Core|Type
Professor|Item Type Metadata|Professor
Creator|Dublin Core|Creator
Contributor|Dublin Core|Contributor
content|Item Type Metadata|Content
Illustrations|Item Type Metadata|Illustrations
provenance|Dublin Core|Provenance
source|Dublin Core|Source
LIMO|Item Type Metadata|LIMO
